"feature","coefficient"
"band_63",-0.000542873013835094
"band_61",-0.00050279755764315
"band_60",-0.000485020780339931
"band_62",-0.000485822704030679
"band_64",-0.000525544495847008
"band_65",-0.000494543398187536
"BSI_1",0.00420646394098379
"BSI_2",0.00412059350819585
"BSI_3",-0.00373524298916958
"BSI_4",0.00256571933693453
"BSI_5",-0.00295449086231912
"BSI_6",-0.00372025836265507
"BSI_7",-0.00301763789145476
"BSI_8",-0.00265973961779315
"BSI_9",0.00378016930301699
"BSI_10",0.00211367426992273
"BSI_11",0.0020717172698067
"BSI_12",0.00203917167820958
"BSI_13",0.00201326559294883
"BSI_14",0.00196528412791035
"BSI_15",0.00209552132888918
"stage_10",2.20637783490007e-05
"stage_20",0.000607716658796374
"stage_30",-0.000699186812550512
"stage_40",3.9856004773079e-05
"stage_50",2.48911179853567e-05
"stage_C",-4.99525500493678e-05
