"feature","coefficient"
"band_48",0.000511677365415121
"band_51",0.000309701169189021
"band_45",0.00102223811958778
"band_50",0.000163889252019237
"band_44",0.00155326368732746
"band_49",5.15892319342019e-05
"band_46",0.000527485295362526
"band_43",0.00216668615349849
"band_53",0.000156594917359522
"band_47",-7.21191727678516e-06
"band_54",4.0800443449147e-05
"band_52",-0.000237717301563443
"band_1",-0.00233587509545626
"band_55",-0.000365440381652528
"band_42",0.000993890725016508
"band_56",-0.000585343357368828
"band_57",-0.000686575720588752
"band_41",0.00146761615904583
"band_58",-0.00075900772371737
"band_59",-0.000830512296968493
"band_4",-0.0021569977459368
"band_60",-0.00100731868049851
"band_76",-0.000669887854029064
"band_61",-0.00105117301063953
"band_5",-0.0021786776148683
"band_77",-0.000572556512894413
"band_62",-0.00106200263630702
"band_8",-0.000718853984845716
"BSI_1",-0.0090008213812205
"BSI_2",-0.0043456854859508
"BSI_3",-0.00346107100143926
"BSI_4",-0.00303377046505328
"BSI_5",-0.00312858523882832
"BSI_6",-0.00267125608613393
"BSI_7",-0.00179777585178711
"BSI_8",-0.00233651681109465
"BSI_9",-0.00205262502396605
"BSI_10",-0.00113400883598359
"stage_10",-0.00130955881825725
"stage_20",-0.00560542791901006
"stage_30",-0.00166927368886464
"stage_40",0.000274376045327417
"stage_50",0.006688964321175
"stage_C",0.00238495161330336
