"feature","coefficient"
"d1_93",-0.00513937127967631
"d1_80",-0.00236383966535662
"d1_81",-0.0026840681213475
"d1_78",-0.00150800157779783
"d1_79",-0.00190878760530195
"d1_82",-0.0029476552571178
"d1_35",-0.00131105397811371
"d1_33",-0.00164608262983314
"d1_34",-0.00122202539301629
"d1_37",-0.00113456643007558
"d1_32",-0.00112226382985988
"d1_87",-0.00180775764440559
"BSI_1",-0.0135129584601377
"BSI_2",0.00673079132427061
"BSI_3",0.00972764101193435
"BSI_4",0.00787145793016556
"BSI_5",0.00768688964243936
"BSI_6",0.00526215727380614
"BSI_7",0.00510240348415382
"BSI_8",0.00562056657285267
"BSI_9",0.00479876235556272
"BSI_10",0.00377777327745434
"stage_10",-0.000981380125697787
"stage_20",0.00470597625180346
"stage_30",-0.00136263030759749
"stage_40",-0.00139016469743278
"stage_50",-0.000145624417251513
"stage_C",-0.00176533360828471
